policy,d,seed_idx,beta,r2
uniform,16,0,0.9760815887497979,0.9996469998199091
epsilon_greedy,16,0,0.9707185937020268,0.9997472682872612
online_softmax_best_arm,16,0,0.943741070097159,0.999689756492423
softmax_best_arm,16,0,1.008444723659683,0.9996256612767939
cluster_label_router,16,0,1.0051708280601848,0.9998789628586716
linucb_raw_alpha_0p5,16,0,0.9365312524370332,0.9995367903449563
linucb_raw_alpha_1,16,0,0.9421535042533581,0.9997268939156184
linucb_raw_alpha_2,16,0,0.9423957503966818,0.999750287095677
linucb_raw_alpha_4,16,0,0.946045893844793,0.9997386617946236
linucb_raw_alpha_8,16,0,0.9492002183755667,0.9998178692699087
linucb_raw,16,0,0.9421535042533581,0.9997268939156184
uniform,16,1,0.9904411655820053,0.999674902026815
epsilon_greedy,16,1,0.9995409092702253,0.9989109619990894
online_softmax_best_arm,16,1,0.9060626223000929,0.9996834324930823
softmax_best_arm,16,1,1.0319317019446361,0.9988865897667812
cluster_label_router,16,1,1.0370392544139033,0.9986605579511566
linucb_raw_alpha_0p5,16,1,0.9403317322804893,0.9997080050316637
linucb_raw_alpha_1,16,1,0.9548328642913296,0.9997754377727456
linucb_raw_alpha_2,16,1,0.927074169823669,0.9997164500698668
linucb_raw_alpha_4,16,1,0.9175841314419246,0.9995804145321764
linucb_raw_alpha_8,16,1,0.9267497106663986,0.9990843418609765
linucb_raw,16,1,0.9548328642913296,0.9997754377727456
uniform,16,2,0.9912589553440835,0.9995104652958272
epsilon_greedy,16,2,0.9884275670909144,0.9997799301721612
online_softmax_best_arm,16,2,0.9371549352241564,0.9997782304023888
softmax_best_arm,16,2,1.017586982502715,0.9994603275890758
cluster_label_router,16,2,0.9833526124178242,0.9996774272199896
linucb_raw_alpha_0p5,16,2,0.9576942626659286,0.9998380138612758
linucb_raw_alpha_1,16,2,0.9489126862649135,0.9995786780795308
linucb_raw_alpha_2,16,2,0.9724449923655265,0.9999018335907013
linucb_raw_alpha_4,16,2,0.9654321517157675,0.9997713656042861
linucb_raw_alpha_8,16,2,0.9705892729995736,0.9995736215660903
linucb_raw,16,2,0.9489126862649135,0.9995786780795308
uniform,16,3,1.0162308035286534,0.999815501183311
epsilon_greedy,16,3,0.9877127973224162,0.9998807896635601
online_softmax_best_arm,16,3,0.9291973523866784,0.999816426643007
softmax_best_arm,16,3,0.9722069563839236,0.9995027515127992
cluster_label_router,16,3,0.9640067029096586,0.9997456015246841
linucb_raw_alpha_0p5,16,3,0.958507276874869,0.9997207688978071
linucb_raw_alpha_1,16,3,0.943872200476908,0.9994463305964747
linucb_raw_alpha_2,16,3,0.9488014058657868,0.9994773438240292
linucb_raw_alpha_4,16,3,0.9301717970755106,0.9997046135491152
linucb_raw_alpha_8,16,3,0.9614438718188565,0.9998708655816665
linucb_raw,16,3,0.943872200476908,0.9994463305964747
uniform,16,4,0.9819589461920111,0.9996440849809681
epsilon_greedy,16,4,0.9361142150816755,0.9995498582273253
online_softmax_best_arm,16,4,0.909727402257122,0.9997037398369627
softmax_best_arm,16,4,0.9766354425943498,0.9984991658217309
cluster_label_router,16,4,0.9919464303956017,0.9998058137492906
linucb_raw_alpha_0p5,16,4,0.91984206507817,0.9989012387737325
linucb_raw_alpha_1,16,4,0.9122142665641991,0.9990539703519745
linucb_raw_alpha_2,16,4,0.9164544300257532,0.9996246325634919
linucb_raw_alpha_4,16,4,0.9120218631748257,0.999540700058045
linucb_raw_alpha_8,16,4,0.922336401796638,0.9994983691914011
linucb_raw,16,4,0.9122142665641991,0.9990539703519745
uniform,2,0,0.9859035189841113,0.9997099132809895
epsilon_greedy,2,0,0.9907351930371209,0.9991928493845562
online_softmax_best_arm,2,0,0.9578116873005749,0.9997134013024451
softmax_best_arm,2,0,1.0083025087195714,0.999545418896304
cluster_label_router,2,0,1.0069578750348716,0.9996598505484505
linucb_raw_alpha_0p5,2,0,0.9820733217947648,0.999841449200676
linucb_raw_alpha_1,2,0,0.9428831070527833,0.9997535785201801
linucb_raw_alpha_2,2,0,0.9680081557971641,0.9998834304650646
linucb_raw_alpha_4,2,0,0.9814986798565433,0.9997121527024934
linucb_raw_alpha_8,2,0,0.9925328578286874,0.9997104148603992
linucb_raw,2,0,0.9428831070527833,0.9997535785201801
uniform,2,1,0.9830175230148909,0.9996169843661673
epsilon_greedy,2,1,1.0065615261903904,0.9997893550298526
online_softmax_best_arm,2,1,0.9005828112074524,0.9998365559928851
softmax_best_arm,2,1,1.0045357044549013,0.9989717940446873
cluster_label_router,2,1,1.0036488403742563,0.999545509785915
linucb_raw_alpha_0p5,2,1,0.9415008376127448,0.9996748812863627
linucb_raw_alpha_1,2,1,0.9325465138597361,0.9996007910753583
linucb_raw_alpha_2,2,1,0.9254778516971743,0.9998090931230003
linucb_raw_alpha_4,2,1,0.943290842864609,0.9993042438836507
linucb_raw_alpha_8,2,1,0.954475810921435,0.9996178671538912
linucb_raw,2,1,0.9325465138597361,0.9996007910753583
uniform,2,2,0.9961821174510426,0.9996960574000526
